"assembly"	"sample"	"design"	"raw total sequences"	"filtered sequences"	"sequences"	"is sorted"	"1st fragments"	"last fragments"	"reads mapped"	"reads mapped and paired"	"reads unmapped"	"reads properly paired"	"reads paired"	"reads duplicated"	"reads MQ0"	"reads QC failed"	"non-primary alignments"	"supplementary alignments"	"total length"	"total first fragment length"	"total last fragment length"	"bases mapped"	"bases mapped (cigar)"	"bases trimmed"	"bases duplicated"	"mismatches"	"error rate"	"average length"	"average first fragment length"	"average last fragment length"	"maximum length"	"maximum first fragment length"	"maximum last fragment length"	"average quality"	"insert size average"	"insert size standard deviation"	"inward oriented pairs"	"outward oriented pairs"	"pairs with other orientation"	"pairs on different chromosomes"	"percentage of properly paired reads (%)"
"hg38"	"HG00268"	"1kGP WGS
long-read"	27476240	0	27476240	1	27476240	0	26217930	0	1258301	0	0	0	95077	0	6214103	8268180	189586900000	189586900000	0	183591300000	179973400000	0	0	13741170000	0.07635114	6900	6900	0	734824	734824	0	255	0	0	0	0	0	0	0
"hg38"	"HG00269"	"1kGP WGS
long-read"	8204451	0	8204451	1	8204451	0	7811572	0	392879	0	0	0	36690	0	2312695	1544510	72020430000	72020430000	0	6.9975e+10	68740300000	0	0	4336824000	0.06308997	8778	8778	0	757966	757966	0	255	0	0	0	0	0	0	0
"hg38"	"HG00271"	"1kGP WGS
long-read"	5980961	0	5980961	1	5980961	0	5693229	0	287732	0	0	0	28261	0	1853617	949186	59138700000	59138700000	0	57601800000	56562530000	0	0	3619996000	0.06399988	9888	9888	0	732853	732853	0	255	0	0	0	0	0	0	0
"hg38"	"HG00273"	"1kGP WGS
long-read"	3118333	0	3118333	1	3118333	0	2936947	0	181386	0	0	0	14583	0	1015675	547808	31561470000	31561470000	0	30630400000	29986510000	0	0	1899155000	0.06333363	10121	10121	0	813853	813853	0	255	0	0	0	0	0	0	0
"hg38"	"HG00274"	"1kGP WGS
long-read"	11373120	0	11373120	1	11373120	0	10899960	0	473165	0	0	0	53728	0	3015549	2085361	82221830000	82221830000	0	80137400000	78824880000	0	0	4797977000	0.06086881	7229	7229	0	1420830	1420830	0	255	0	0	0	0	0	0	0
"hg38"	"HG00278"	"1kGP WGS
long-read"	10101920	0	10101920	1	10101920	0	9464502	0	637419	0	0	0	43840	0	2894302	1221076	86044760000	86044760000	0	83105530000	81896210000	0	0	6205266000	0.07576987	8518	8518	0	659301	659301	0	255	0	0	0	0	0	0	0
"hg38"	"HG00282"	"1kGP WGS
long-read"	2436320	0	2436320	1	2436320	0	2279957	0	156363	0	0	0	4586	0	680371	420695	57869800000	57869800000	0	56619810000	55878190000	0	0	3868501000	0.06923097	23753	23753	0	511687	511687	0	255	0	0	0	0	0	0	0
"hg38"	"HG00284"	"1kGP WGS
long-read"	2935401	0	2935401	1	2935401	0	2750533	0	184868	0	0	0	8095	0	931538	484276	44464290000	44464290000	0	42926720000	42129630000	0	0	3256498000	0.07729709	15148	15148	0	461710	461710	0	255	0	0	0	0	0	0	0
"hg38"	"HG00311"	"1kGP WGS
long-read"	5333681	0	5333681	1	5333681	0	5004031	0	329650	0	0	0	15117	0	1794046	964995	98597150000	98597150000	0	95998940000	94546640000	0	0	7267471000	0.07686651	18486	18486	0	1222709	1222709	0	255	0	0	0	0	0	0	0
"hg38"	"HG00312"	"1kGP WGS
long-read"	2115367	0	2115367	1	2115367	0	1986904	0	128463	0	0	0	5667	0	603790	364956	42500760000	42500760000	0	41330040000	40639710000	0	0	3815011000	0.09387397	20091	20091	0	1136020	1136020	0	255	0	0	0	0	0	0	0
"hg38"	"HG00313"	"1kGP WGS
long-read"	1840894	0	1840894	1	1840894	0	1736361	0	104533	0	0	0	4883	0	503509	346947	43729550000	43729550000	0	42794570000	42113940000	0	0	3162715000	0.07509902	23755	23755	0	626862	626862	0	255	0	0	0	0	0	0	0
"hg38"	"HG00315"	"1kGP WGS
long-read"	1851753	0	1851753	1	1851753	0	1741168	0	110585	0	0	0	5470	0	537745	387870	47930230000	47930230000	0	46818430000	45995550000	0	0	3416209000	0.07427259	25884	25884	0	412827	412827	0	255	0	0	0	0	0	0	0
"hg38"	"HG00321"	"1kGP WGS
long-read"	3141578	0	3141578	1	3141578	0	2964648	0	176930	0	0	0	9643	0	1032619	602390	58132240000	58132240000	0	56338580000	55138420000	0	0	3938506000	0.07142944	18504	18504	0	407258	407258	0	255	0	0	0	0	0	0	0
